Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
2222920356l,   -0.01171,   -0.00319,   -0.00106,   -1.00439,   -0.01562,   +0.01660,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222931036l,   -0.01809,   -0.01277,   -0.00319,   -1.01074,   -0.01123,   +0.00879,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222941710l,   -0.01596,   -0.01383,   -0.00106,   -1.00781,   -0.02295,   +0.02100,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222952386l,   -0.01596,   -0.00639,   -0.00213,   -1.01318,   -0.02246,   +0.01807,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222963063l,   -0.01064,   -0.01703,   +0.00000,   -1.01221,   -0.01855,   +0.02148,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222973749l,   -0.01703,   -0.00958,   -0.00319,   -1.00732,   -0.01660,   -0.00293,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222984420l,   -0.01277,   -0.00426,   -0.00106,   -1.01758,   -0.02002,   +0.01172,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222995104l,   -0.01490,   -0.00745,   +0.00000,   -1.00830,   -0.02490,   +0.00732,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223005779l,   -0.01596,   -0.01171,   +0.00426,   -1.01318,   -0.02979,   +0.00732,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223016448l,   -0.01171,   -0.00745,   +0.00000,   -1.01123,   -0.01855,   +0.00586,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223027123l,   -0.01383,   -0.00745,   -0.00106,   -1.01758,   -0.02051,   +0.01221,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223037805l,   -0.01490,   -0.00426,   -0.00213,   -1.01904,   -0.01758,   +0.00098,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223048479l,   -0.01383,   -0.00319,   +0.00106,   -1.01270,   -0.01758,   +0.01416,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223059153l,   -0.01703,   -0.00319,   -0.00319,   -1.02441,   -0.01807,   +0.02490,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223069829l,   -0.01383,   -0.00851,   +0.00000,   -1.01807,   -0.01904,   +0.01953,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223080501l,   -0.01064,   -0.01490,   -0.00319,   -1.00781,   -0.01709,   +0.01807,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223091180l,   -0.01916,   -0.01171,   -0.00106,   -1.01367,   -0.02295,   +0.00830,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223101811l,   -0.02022,   -0.01277,   +0.00106,   -1.00781,   -0.02100,   +0.00342,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223112486l,   -0.01703,   -0.01171,   +0.00000,   -1.01318,   -0.02637,   +0.00195,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223123159l,   -0.01596,   -0.00639,   -0.00213,   -1.00391,   -0.02393,   +0.01953,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223133840l,   -0.01383,   -0.00319,   -0.00213,   -1.01123,   -0.01562,   +0.01709,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
