Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
 254948320l,   -0.01383,   -0.00639,   -0.00851,   -0.01172,   +0.01709,   +1.02930,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254958872l,   -0.01383,   -0.01064,   -0.01064,   -0.01807,   +0.03467,   +1.01758,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254969421l,   -0.01277,   -0.00745,   -0.00958,   -0.01807,   +0.03516,   +1.02686,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254979967l,   -0.00958,   -0.00851,   -0.00851,   -0.02881,   +0.04443,   +1.00781,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254990515l,   -0.01703,   -0.01171,   -0.00639,   -0.01709,   +0.03076,   +1.02148,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255001059l,   -0.01383,   -0.01490,   -0.00958,   -0.02100,   +0.02881,   +1.02490,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255011608l,   -0.01809,   -0.00639,   -0.00745,   -0.01709,   +0.02832,   +1.02588,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255022155l,   -0.01064,   -0.01064,   -0.00851,   -0.01611,   +0.02441,   +1.00879,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255032702l,   -0.01064,   -0.00426,   -0.00639,   -0.02490,   +0.03418,   +1.02148,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255043297l,   -0.01383,   -0.00639,   -0.00851,   -0.01855,   +0.03418,   +1.01904,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255053845l,   -0.01596,   -0.01277,   -0.00851,   -0.02686,   +0.03516,   +1.03857,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255064393l,   -0.01277,   -0.00851,   -0.01277,   -0.02002,   +0.03076,   +1.02588,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255074940l,   -0.01277,   -0.00851,   -0.01171,   -0.01514,   +0.02881,   +1.02881,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255085484l,   -0.00958,   -0.01064,   -0.01171,   -0.01514,   +0.03516,   +1.03320,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255096035l,   -0.01703,   -0.00851,   -0.01277,   -0.01709,   +0.02930,   +1.01416,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255106558l,   -0.01383,   -0.00958,   -0.01277,   -0.02100,   +0.03809,   +1.02686,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255117103l,   -0.01064,   -0.01383,   -0.01171,   -0.01465,   +0.03027,   +1.01758,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255127647l,   -0.01277,   -0.00639,   -0.00639,   -0.01660,   +0.03271,   +1.02051,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255138204l,   -0.01490,   -0.01171,   -0.01064,   -0.02246,   +0.02686,   +1.02148,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255148760l,   -0.01490,   -0.00745,   -0.00532,   -0.01709,   +0.03027,   +1.02100,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255159305l,   -0.00958,   -0.01383,   -0.00745,   -0.01709,   +0.02783,   +1.02002,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255169850l,   -0.01064,   -0.00958,   -0.01277,   -0.00928,   +0.03027,   +1.02295,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255180407l,   -0.01383,   -0.00745,   -0.00639,   -0.01758,   +0.03369,   +1.01807,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255190970l,   -0.01383,   -0.00851,   -0.00639,   -0.01904,   +0.02783,   +1.02979,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255201513l,   -0.01490,   -0.01064,   -0.01171,   -0.02588,   +0.03418,   +1.02539,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255212058l,   -0.00745,   -0.00851,   -0.01064,   -0.01660,   +0.02686,   +1.02734,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255222615l,   -0.00851,   -0.01064,   -0.00639,   -0.00684,   +0.03662,   +1.01562,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255233160l,   -0.01596,   -0.00639,   -0.00851,   -0.01758,   +0.03027,   +1.02832,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255243727l,   -0.00426,   -0.01171,   -0.00851,   -0.01758,   +0.02637,   +1.01807,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255254290l,   -0.01064,   -0.00639,   -0.00851,   -0.02734,   +0.02686,   +1.02002,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255264840l,   -0.01703,   -0.01277,   -0.00958,   -0.00977,   +0.02783,   +1.03076,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255275390l,   -0.01171,   -0.00745,   -0.00851,   -0.01611,   +0.03369,   +1.01514,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255285939l,   -0.01171,   -0.01064,   -0.00639,   -0.01562,   +0.03125,   +1.02881,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255296483l,   -0.00745,   -0.00851,   -0.00851,   -0.01562,   +0.03027,   +1.01904,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255307039l,   -0.00958,   -0.00745,   -0.00532,   -0.01807,   +0.02783,   +1.00635,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255317590l,   -0.01703,   -0.00639,   -0.00639,   -0.01904,   +0.03027,   +1.01172,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255328144l,   -0.01383,   -0.01064,   -0.01171,   -0.01758,   +0.03857,   +1.02979,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255338721l,   -0.01490,   -0.01064,   -0.00851,   -0.01807,   +0.02832,   +1.03271,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255349286l,   -0.01277,   -0.00639,   -0.01064,   -0.01660,   +0.03320,   +1.01660,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255359832l,   -0.01277,   -0.00745,   -0.00851,   -0.02051,   +0.02979,   +1.02246,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255370379l,   -0.01064,   -0.01171,   -0.01490,   -0.02490,   +0.04150,   +1.02637,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255380936l,   -0.01703,   -0.00851,   -0.00851,   -0.01758,   +0.02246,   +1.01562,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255391492l,   -0.01703,   -0.01064,   -0.01171,   -0.01611,   +0.03613,   +1.00977,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255402074l,   -0.00958,   -0.01383,   -0.00851,   -0.01465,   +0.04102,   +1.01611,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255412655l,   -0.00639,   -0.01383,   -0.00851,   -0.02539,   +0.03662,   +1.00879,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255423260l,   -0.01383,   -0.00639,   -0.00639,   -0.01318,   +0.02734,   +1.01562,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255433843l,   -0.01064,   -0.01277,   -0.00851,   -0.01904,   +0.03320,   +1.02490,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255444422l,   -0.01490,   -0.00532,   -0.01171,   -0.01514,   +0.02832,   +1.03174,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255455003l,   -0.01277,   -0.01383,   -0.01383,   -0.02539,   +0.03125,   +1.03516,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255465611l,   -0.01064,   -0.00958,   -0.01064,   -0.02002,   +0.02197,   +1.03027,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255476201l,   -0.01383,   -0.00532,   -0.00532,   -0.00977,   +0.03320,   +1.01807,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255486787l,   -0.00745,   -0.02341,   -0.00745,   -0.01367,   +0.03076,   +1.02783,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255497368l,   -0.01596,   -0.00851,   -0.00745,   -0.01807,   +0.02930,   +1.02295,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255507950l,   -0.01490,   -0.00319,   -0.00958,   -0.01123,   +0.03027,   +1.02148,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255518546l,   -0.01809,   -0.01596,   -0.00745,   -0.00635,   +0.02490,   +1.02393,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255529145l,   -0.01703,   -0.01277,   -0.00851,   -0.01855,   +0.02783,   +1.03369,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255539726l,   -0.00958,   +0.00213,   -0.01171,   -0.02148,   +0.03125,   +1.02148,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 255550307l,   -0.02022,   -0.00639,   -0.01171,   -0.01318,   +0.02832,   +1.01904,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
